disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
2338,,,,,1371792.07,1371792.07,,2023-10-30T00:00:00.000Z,,,41c0a179879f061ed887c1610eaf9d56eb7a4c57,2023-10-30T04:22:46.792Z,0b642f02-cc51-4f5c-a0ea-27a16ea90f71
2236,,,,,,,,,,,f334231704d6e86639553c74f85687475b595002,2023-03-18T13:22:12.883Z,cfbfea9e-1c2a-4602-a994-1b6393e8b795
2340,,,,,71766.81,71766.81,,2023-10-30T00:00:00.000Z,,,517dd2581bfa4132ef346b8f3c125cadebc7ec5a,2023-10-30T04:22:46.792Z,b026849c-f2ac-4a36-8f10-bce972261d8d
2341,,,,,1114963.35,1114963.35,,2023-10-30T00:00:00.000Z,,,566e47c01741d95767acaa2b2fd7de4e3f41a66f,2023-10-30T04:22:46.792Z,88e6f071-8014-47f7-82e4-44cf2c4ca341
2342,,,,,109241.75,109241.75,,2023-10-30T00:00:00.000Z,,,f441d0419313d9dec81a681a8428e89080092d4f,2023-10-30T04:22:46.792Z,548db44f-acdf-4d7a-a1b5-f1a4b77aadd3
2343,,,,,102666.28,102666.28,,2023-10-30T00:00:00.000Z,,,2640a67416a0a52af1d18bcfa059783df7ecc5c9,2023-10-30T04:22:46.792Z,c724d1ca-2a84-4cda-b1f7-33031b631a3c
2241,,,,,,,,,,,253cc85e8c58d7aa3c55fff5f4fcc2ff36106235,2023-03-18T13:22:12.883Z,cdfc04ba-14a9-4da5-8a49-5f5438ed026d
2344,,,,,98597.18,98597.18,,2023-10-30T00:00:00.000Z,,,cc26f4a20496f49161f42fa53bdeef64ab2c80df,2023-10-30T04:22:46.792Z,a532cb9a-a2b7-4262-962d-82ff661519d2
2345,,,,,2539053.48,2539053.48,,2023-10-30T00:00:00.000Z,,,d9c412e88bcdee12017c12a596b79b35ea29fcab,2023-10-30T04:22:46.792Z,a50f77b5-64d4-4f72-8d6a-74f526b13008
2346,,,,,254258.94,254258.94,,2023-10-30T00:00:00.000Z,,,c7dd963debb906e43becd36e06ed16d533d52c61,2023-10-30T04:22:46.792Z,ab8a8a78-7ea4-46d9-82c8-7d67d251f5d7
2347,,,,,385486.13,385486.13,,2023-10-30T00:00:00.000Z,,,493e9a16a5228ff36884f7e1d2a1167e6f5008c5,2023-10-30T04:22:46.792Z,654e21f9-1609-4cb1-99ee-8c51bab155e8
2348,,,,,93972.96,93972.96,,2023-10-30T00:00:00.000Z,,,46c8e04dc9857b055a8b74415f4035743961e2a9,2023-10-30T04:22:46.792Z,d34d6ba7-96b3-433b-8de9-8bf839f06879
2349,,,,,1000625.76,1000625.76,,2023-10-30T00:00:00.000Z,,,332cd065098930a981e45f99381ddbb721fdda3e,2023-10-30T04:22:46.792Z,e2aae8e1-cca5-4117-bd0a-c34cd38ad47a
2350,,,,,81878.55,81878.55,,2023-10-30T00:00:00.000Z,,,75531e69dd50dd693910313aa0edf4b5c238a824,2023-10-30T04:22:46.792Z,9e0e0ce8-08dd-4da3-bd4f-eb7dc566cd14
2249,,,,,,,,,,,9b14f3dfdf51fcd6df46331eba3d8051656b083a,2023-03-18T13:22:12.883Z,58611e74-0061-43f3-be23-36b63603607c
2250,,,,,,,,,,,fdf31815a9d4f7db4649003bebf821c43e63b687,2023-03-18T13:22:12.883Z,504e1ebb-e15e-4e90-83fb-6d7834e14bc2
2353,,,,,3950133.61,3781834.76,,2023-10-30T00:00:00.000Z,,,c43520c0922cce9e590a4cd5bbb107c828407f5d,2023-10-30T04:22:46.792Z,8ef4689f-3642-4fea-aef0-e58df7aa6253
2354,,,,,1546000.26,1546000.26,,2023-10-30T00:00:00.000Z,,,778f7ffa6abdc16f14bb947eabfbe8f338b4744d,2023-10-30T04:22:46.792Z,0846cf9e-4fb3-483c-b090-db9e0019abcc
2355,,,,,959055,959055,,2023-10-30T00:00:00.000Z,,,82f1909a44e1c01402a847400a4489586a8a2a1e,2023-10-30T04:22:46.792Z,50c5b900-5aae-459d-a3d6-3a576719c0a5
